ADM1_EN,ADM2_EN,ADM3_EN,ADM3_PCODE,nightlight_mean,nightlight_max,nightlight_std,pop_density_mean,pop_total,road_density_km_per_km2,health_facility_count,school_count,poverty_rate,mean_cons_ae,label_source
Southern Province,Nyanza,Cyabakamyi,RW2103,0.0,0.0,0.0,433.973398987676,30812.111328125,3.8518,2,0,0.3932636134647778,630997.9502227468,EICV7_survey
Southern Province,Nyanza,Kibilizi,RW2104,0.0106641004994972,1.126031756401062,0.0889028216305991,528.9966755319149,49725.6875,3.0973,3,0,0.3932636134647778,630997.9502227468,EICV7_survey
Southern Province,Nyanza,Kigoma,RW2105,0.2756589130290504,2.5307016372680664,0.4886153741347668,653.0576714409722,47020.15234375,3.3611,1,0,0.3932636134647778,630997.9502227468,EICV7_survey
Southern Province,Nyanza,Mukingo,RW2106,0.1797358194986979,1.5205357074737549,0.356005911878008,1052.7856889204545,92645.140625,3.4672,2,0,0.3932636134647778,630997.9502227468,EICV7_survey
Southern Province,Nyanza,Muyira,RW2107,0.2576284558361113,1.794918179512024,0.4520081700673754,624.0896045918367,61160.78125,2.9653,2,0,0.3932636134647778,630997.9502227468,EICV7_survey
Southern Province,Nyanza,Ntyazo,RW2108,0.0772123797186489,1.6524559259414673,0.240576962973426,626.246254280822,45715.9765625,3.7882,2,0,0.3932636134647778,630997.9502227468,EICV7_survey
Southern Province,Nyanza,Nyagisozi,RW2109,0.0533608011791488,2.836833477020264,0.2642554588717494,431.33115808823527,36663.1484375,3.8726,3,0,0.3932636134647778,630997.9502227468,EICV7_survey
Southern Province,Nyanza,Rwabicuma,RW2110,0.0823271351475869,1.7591668367385864,0.2656326036461929,507.1106770833333,28905.30859375,4.2073,2,0,0.3932636134647778,630997.9502227468,EICV7_survey
Southern Province,Gisagara,Gikonko,RW2201,0.0242329503333619,0.7149180173873901,0.1159976857359809,600.6229475635594,35436.75390625,3.2382,3,0,0.3991379261423588,522156.74253344175,EICV7_survey
Southern Province,Gisagara,Gishubi,RW2202,0.0100426714995811,0.7442424893379211,0.0766602116629975,552.3879523026316,41981.484375,3.1166,1,0,0.3991379261423588,522156.74253344175,EICV7_survey
Southern Province,Gisagara,Kansi,RW2203,0.0290717105476223,0.7599999308586121,0.1272707866120975,435.1279703776042,20886.142578125,3.8592,2,0,0.3991379261423588,522156.74253344175,EICV7_survey
Southern Province,Gisagara,Kibirizi,RW2204,0.947369433463888,6.985080242156982,1.0672014888635657,714.4481608072916,34293.51171875,4.0915,3,0,0.3991379261423588,522156.74253344175,EICV7_survey
Southern Province,Gisagara,Kigembe,RW2205,0.0140772877999071,0.7139683365821838,0.0844371591119455,460.1002604166667,23465.11328125,3.1272,0,0,0.3991379261423588,522156.74253344175,EICV7_survey
Southern Province,Gisagara,Mamba,RW2206,0.2954574138560193,10.81344223022461,1.076335863831553,572.6027434593024,49243.8359375,2.9989,2,0,0.3991379261423588,522156.74253344175,EICV7_survey
Southern Province,Gisagara,Muganza,RW2207,0.0,0.0,0.0,547.1500692246835,43224.85546875,2.4499,1,0,0.3991379261423588,522156.74253344175,EICV7_survey
Southern Province,Gisagara,Mugombwa,RW2208,0.021941466673517,0.6839999556541443,0.1061117162504422,532.1939991918103,30867.251953125,3.5585,1,0,0.3991379261423588,522156.74253344175,EICV7_survey
Southern Province,Gisagara,Mukindo,RW2209,0.0,0.0,0.0,590.8999660326087,27181.3984375,3.2444,1,0,0.3991379261423588,522156.74253344175,EICV7_survey
Southern Province,Gisagara,Musha,RW2210,0.1157904975434653,2.519364833831787,0.3580894419772337,611.6496930803571,34252.3828125,2.8514,2,0,0.3991379261423588,522156.74253344175,EICV7_survey
Southern Province,Gisagara,Ndora,RW2211,0.3870464634979572,4.846507549285889,0.7562885731512178,484.33318661971833,34387.65625,3.5483,2,0,0.3991379261423588,522156.74253344175,EICV7_survey
Southern Province,Gisagara,Nyanza,RW2212,0.1003332823020977,1.717376947402954,0.2890574490438691,488.7416294642857,17105.95703125,3.3462,1,0,0.3991379261423588,522156.74253344175,EICV7_survey
Southern Province,Gisagara,Save,RW2213,0.577219564447958,3.896065473556519,0.8530756312168503,761.0255102040817,37290.25,5.0593,2,0,0.3991379261423588,522156.74253344175,EICV7_survey
Southern Province,Nyaruguru,Busanze,RW2301,0.0555708551981362,1.08650803565979,0.1730341294151106,470.9178631756757,34847.921875,4.0844,1,0,0.37833203950797134,542354.9479190207,EICV7_survey
